path,raw_whisper,status
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(5).wav,නව තින්න ඔයාගේ කරන්පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(25).wav,නාවතින්නේ ඔයාගෙක් පර,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(22).wav,පිටපැස්සර යන්න ස්ට්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(56).wav,ටේක තොන්ට ලෑව්ට් ඔයා ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(68).wav,නවතින්න ඔය අගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(47).wav,පිටි බසදෙන්න ස්ඪැටල�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(52).wav,ඔයාගෙක් කරන්පොස්චන්,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(63).wav,තෙක්ක තොන්තුල් ලෙව් ක,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(3).wav,නවතින්න ඔහාගේ කරන් පස,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(25).wav,ටේක් ටොයන්ටුල්වට් ව�,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(30).wav,නවුතින් ආගි පොස්යෙන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(33).wav,පෙරිපසට යන්න ඉස්රැට්,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(42).wav,තෙක තොන්ටු රායිට් ඔන්,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(63).wav,ිටිපස්සරයන්න ස්රේර�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(10).wav,ට්කට්ටු ලෙව්ට් ඔන් ඉන,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(8).wav,ටේක් ටොන්තු ලෙප්ට් ඔය,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(74).wav,තේක තොරන්ටු රයිට් ඔය ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(35).wav,පිටිපස්තර යන්න ඉස්ට්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(21).wav,තෙක ටොටුර් රායිට් වා�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(15).wav,තෙක තොරන්ටු රැයිටුවා,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(33).wav,ටේක්ක ටන්ටු ලෙව්ට ඔයා,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(27).wav,ටේක් ටොන්ටු ලෙහ් ඔය දැ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(48).wav,ඉස්සහට යන්න ස්ට්ලයෙ�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(23).wav,ඉස්සරහට යන්නස් රේත්ල,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(75).wav,නවතින්ල වෙක් කරන්පස�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(49).wav,තෙක තොන්තු ලැව්ට ඔවා ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(43).wav,පිටිපස්සට යන්න ස්ටැ�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(11).wav,නවතෙන්න ඔවග කරන් පොස්,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(3).wav,ඉස්සරහට යන්න ස්චේට්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(57).wav,පිටිපස්සට යන්න ස්රේ�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(40).wav,ටේක ටේක් තොන්ටු ලෙව්ත,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(18).wav,පිටි පසට යාන්නේ ස්ටි�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(56).wav,පිටිපස්සට යන්න ඉස්ට්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(58).wav,නොතින් ඔයාගේ කරන් පොත,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(70).wav,තේක් ටලන්ටු රයිට ඔය දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(72).wav,ටැයකටානටෝ රයිට් දැන්,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(11).wav,ටෙකටන්ටුරයි ඔන දැන් ඉ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(54).wav,නව තින්න ඔය ආගේ කරන්පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(45).wav,තවතින්න ඔයාගෙ කරන් පො,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(59).wav,පිටි පස්සට යන්ඩ ඉනස්ට,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(62).wav,පිටිපස්තරයන්න ඉස්ට්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(55).wav,නවැතින්න ඔයාගෙක් හර�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(63).wav,නව තින්නේ වාගේ කරන් ප�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(76).wav,තෙක්ක ට්න්ටුල්ය්ත් ඔ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(19).wav,ටෙක තොන්තෝ රැයි ඔයා දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(13).wav,නවතින්නේ ඔයායු කරන්ප,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(66).wav,ටෙකට් වෙන්ටු රය්ට් ඔ�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(16).wav,පිඩිපස්ටයන් නස්රැට්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(55).wav,පිටිපසටයන්න ස්ටැර්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(12).wav,ඉස්සරහට ඇන්නස්ට්රේට,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(46).wav,තෙක තොන්ටු රැය්ට් ඔලා,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(5).wav,පිටිපසට යන්න ඉස්රැටල,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(33).wav,ඉස්සරහට යන්නයා ඉස්සෙ,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(58).wav,දකුණට හැරෙන්න පොමිය�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(56).wav,ඉස්සරහට යන්ව ස්ටිට්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(39).wav,ස්සරහට යන්න ස්රැයිට�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(67).wav,ඉස්සරහඩයන්න ඉස්ස්රේ,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(31).wav,නවැතින්න පෙයාලි කරන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(73).wav,හිස්සරාට යන්නස්ට්රේ,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(28).wav,පිටිපැස්සට යන්නේ ස්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(43).wav,ස්සරහට යන්න ස්ට්ලයි�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(8).wav,ත්ක්ත්ත්ත් රැය් ඔය දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(55).wav,ටේක් ට්ර්න් තු ලෙව්ට්,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(67).wav,නාව තින්න ඔයාගේ කරන් ප,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(19).wav,නිස්සුරහතයන්න ස්රේ �,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(48).wav,පෙටිපස්සට යන්න ස්ට්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(50).wav,ඉස්සරාඩන්නේ ස්රෙට්�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(50).wav,පිටිපස්සට යන්නෙස් රෙ,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(9).wav,තේකටන්ටු රයිට් ඔවා දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(32).wav,ඉස්සරයට යන්ස්ට්ලැන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(52).wav,ත්යාගේ කරන් පොසිෂන් එ,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(50).wav,තෙක ටන්ටු ලෙව්ට් දැඟි,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(36).wav,ටෙක ට්න්ටු ලෙව්ටුවා ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(26).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(17).wav,ඉස්රහටයන්න ඉස්රෙට්ල,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(21).wav,ත්ක තොන්තු ලෙව්ට් ආදැ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(60).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(44).wav,ස්සරාට යන්නස්ට් ළයි�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(41).wav,ටේක ටැවැන්ටුල්ව්ත් අ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(21).wav,ඉසසරහට යන්න ස්රේට ලැ�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(19).wav,පිතිපස්තයන් ස්රේතය�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(37).wav,පිටිපසරයන්න ස්රේටල�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(64).wav,ටේක්ට්ට්ටුල්ව් ඔය අ ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(4).wav,ටෙක ටැන්ටු රැයිට ආදැන,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(21).wav,නව තින්නාගේ කරන් පසින,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(42).wav,නවත්තින්නෝ ආගේ කරන් ප,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(69).wav,ටේක ටොන්ටු ලෙව්ට් ඔයා,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(13).wav,පිරිබසරයන් ස්වේටලය�,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(70).wav,ඉස්සර හට යන්න ස්ට්ලය,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(41).wav,එක ටැවැන්තු රැයිට් ව�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(55).wav,ටෙක්කට්ටිර් රැයිට් ඔ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(52).wav,ඔයාගේ කරන් ප්සිෂන් එක,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(39).wav,ටේක ටොන්ටු රැයිත් ඔය ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(62).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(55).wav,ඉස්සරාට යන්න ඉස්ට්රේ,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(72).wav,ටේක්ට්ටු ලෙව්ට්වා දෙ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(37).wav,තේක් තොයන් තු ලෙව්ට් ඔ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(10).wav,නවතින්නවාගේ කරන්පස්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(23).wav,නවතින්න ඔයාගේ කරන්පස,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(7).wav,ඉස්ස රහට යන්නෙස්වියට,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(57).wav,ටේකට තුළෙශ්ට් වාදැන�,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(4).wav,ඉස්සරාට යන්න ස්රේට්�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(20).wav,නවතින්න ඔවාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(32).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(76).wav,තෙක්ක ටොන්ටුරයිට ඔය ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(23).wav,පිටි පස්සට යන්න ස්රේ�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(68).wav,ටේක්ක තොර්ටු රැයිට් ඔ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(66).wav,පිටිවසරියන්න ස්ටිය�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(1).wav,නවතින්නවාගෙ කරන් පොස,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(61).wav,ටෙක්ක්ට්වන් ලෙව්ත් �,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(6).wav,ඉස්සරහට යන්නැස්ට්රේ,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(39).wav,නවතින්න්ද ඔය අගේ කරන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(9).wav,නවතින් නොවාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(37).wav,ත්කත් තොර්න්ට් රායිට,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(61).wav,ටේක් ඤොන් රැයි ඔළදැන්,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(41).wav,ස්සරහඩන්නේ ස්සයට් ල�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(1).wav,ත්ක තොන්ටුල්වට් ඔහා ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(47).wav,ටෙක් ටරංක්ටු ලෙව්ට් ඔ,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(51).wav,ඔයාගේ කරන්පසිෂන් එකය,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(29).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(69).wav,ටේක් ට්න්ටු ර්යි ඔයා ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(57).wav,ඉසරරාඩ අන්නුස් රේට්ල,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(7).wav,පිටිපස්සටයන්නේ ස්ව�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(43).wav,තෙක්ක ටවන්ටුලෙස් තා ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(36).wav,පිටුවසරයන්නස්රයෙන්,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(9).wav,ඉස්සර හටයන්න ස්ට්ලය,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(46).wav,තෙක තොර්න්ටු ලැව් අය ද,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(6).wav,ත්න්ටුල්ල්වත් ඔය දැන,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(53).wav,ටෙක ටොන්තු රයෙත් ඔය දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(38).wav,පිටිබසර යන්න ස්රේට් �,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(26).wav,පිටිවසරයන් ස්ටිලයි�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(74).wav,ට්රේඩ් ලයින්නෙගග ඉස්,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(61).wav,ඉස්සරහට යන්නෙ ඉස්ට්ර,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(66).wav,ඉස්සරායන්ම ස්රේට් ල�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(10).wav,පිටි පස්සට යන්න ස්ටි�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(51).wav,ටෙයෙක් ඇට්ටෙන්ටුරයි,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(44).wav,ත්තිර්තිර්ති වෑදැන�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(27).wav,නවතේන්න ඔයාගෙ කරන් පො,Unrecognized_for_stop
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(38).wav,යෙක ටොන්ටුරයි ඔන් ඉන්,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(66).wav,ඔයා දැංයින්න පොෂිශන්,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(49).wav,ඉස්සරාට යන්නස් රෙයට්,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(34).wav,ට්ටික ටොන් තුර්ලේ්වත,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(30).wav,පිටි පස්සට යන්නා න්ස්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(54).wav,ස්රහට යන්නු ස්රේට්ල�,Unrecognized_for_forward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(54).wav,ඔය දෙන්නින් පොෂෂණෙක්,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(12).wav,ටේක් ටට්ටුරයි ටොයා දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(42).wav,පිටිපස්සට අන්න ස්රේ�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(35).wav,ටෙකටරටු රැයි වාධන්න�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(59).wav,ත්ග් තොයන්ටු ර්යිට් අ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(75).wav,එක ටොන්ටුරයිත් වා දැ�,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(59).wav,නාවතින්න ඔයාකි කාරන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/left/left(48).wav,තෑක්වත් තොන්තු රැය්ට,Unrecognized_for_left
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(32).wav,ටේක් ටොන් රැයිට් ඔලාධ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(45).wav,ටේක්ට්ටාන්ටු රය්ට් ක,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(65).wav,තෙක තොන්ට රැයිට ඔවා දැ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(67).wav,ඔයා දැඟින්න පොෂිස්ෂන,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(34).wav,ත්ටිකටට්ටු රැයිට් ඔය,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(43).wav,නවතින්න වෙයාගේ කරන් �,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(46).wav,ත්වසත්යන්න ඇස්ට්ලීන,Unrecognized_for_backward
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(11).wav,ඉස්සරහටයන්න ස්රැයි�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(1).wav,පිටිපස්සට යන්නස්ට්ර,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/forward/forward(13).wav,ඉස්සරාටයන්න ස්ටැයට�,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(60).wav,තෙයෙක තොර්න්ට ර්වයි ඔ,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/right/right(43).wav,ටේක් අත්න්ටුරයි ඔයා ද,Unrecognized_for_right
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(36).wav,නාවතින් ඔවේ ආගේ කරන් ප,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(50).wav,නවතින්න ඔයාගේ කරන් පො,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/stop/stop(18).wav,නවතිනවේ කරන්පස් චැන්,Success_GT_Match
/content/drive/MyDrive/2nd Year Research Data/Preprocessed_Audio/backward/backward(51).wav,පිට පසරයන්නේ ස්චේටල�,Success_GT_Match
